#,Name,Price,24H CHANGE,24H VOLUME,Market Cap
1,Bitcoin,"$29,346.15",-4.00%,$28.37 B,$554.94 B
2,Ethereum,"$1,703.00",-6.63%,$17.46 B,$204.04 B
3,Tether,$1.01,-0.03%,$47.98 B,$72.44 B
4,USD Coin,$1.00,-0.01%,$4.34 B,$53.71 B
5,BNB,$287.85,-2.35%,$1.34 B,$46.55 B
6,Cardano,$0.5941,-9.67%,$1.15 B,$19.64 B
7,XRP,$0.3864,-4.71%,$1.38 B,$18.49 B
8,Binance USD,$1.00,-0.01%,$4.83 B,$18.05 B
9,Solana,$37.79,-8.60%,$1.19 B,$12.75 B
10,Dogecoin,$0.07647,-5.91%,$418.92 M,$9.98 B
11,Polkadot,$8.80,-6.96%,$456.29 M,$8.6 B
12,Wrapped Bitcoin,"$29,443.10",-3.99%,$264.03 M,$7.94 B
13,TRON,$0.07956,-1.93%,$745 M,$7.35 B
14,Dai,$1.02,-0.04%,$268.03 M,$7 B
15,Avalanche,$22.82,-9.91%,$514.35 M,$6.32 B
16,Shiba Inu,$0.00001034,-5.26%,$244.3 M,$5.55 B
17,UNUS SED LEO,$5.47,+1.01%,$6.52 M,$5.22 B
18,Polygon,$0.611,-6.94%,$493.45 M,$4.79 B
19,Cronos,$0.1682,-6.73%,$25.62 M,$4.18 B
20,Litecoin,$57.62,-7.46%,$648.26 M,$4.03 B
21,Chainlink,$8.47,-11.72%,$798.54 M,$3.9 B
22,FTX Token,$27.50,-4.33%,$69.82 M,$3.74 B
23,Uniswap,$4.89,-7.73%,$114.81 M,$3.47 B
24,Stellar,$0.1355,-4.83%,$159.6 M,$3.33 B
25,NEAR Protocol,$4.67,-10.71%,$284.71 M,$3.26 B
26,Bitcoin Cash,$170.82,-5.08%,$2.16 B,$3.21 B
27,Monero,$175.62,-4.79%,$148.56 M,$3.18 B
28,Ethereum Classic,$20.38,-5.96%,$281.08 M,$2.72 B
29,Algorand,$0.3752,-10.63%,$113.53 M,$2.54 B
30,Flow,$2.33,-5.30%,$52.09 M,$2.37 B
31,Cosmos,$8.41,-7.76%,$256.89 M,$2.36 B
32,VeChain,$0.03043,-9.37%,$184.17 M,$2.16 B
33,Tezos,$2.06,-8.35%,$155.91 M,$1.82 B
34,Decentraland,$0.9285,-7.90%,$154.87 M,$1.68 B
35,Hedera,$0.0827,-8.34%,$28.96 M,$1.68 B
36,KuCoin Token,$15.53,-3.51%,$4.35 M,$1.53 B
37,ApeCoin,$5.31,-10.61%,$210.73 M,$1.52 B
38,The Sandbox,$1.23,-7.41%,$247.59 M,$1.5 B
39,Filecoin,$6.90,-6.02%,$192.34 M,$1.48 B
40,Internet Computer,$6.26,-6.02%,$82.1 M,$1.47 B
41,Helium,$11.68,-5.15%,$33.78 M,$1.37 B
42,Theta Network,$1.33,-9.38%,$153.3 M,$1.32 B
43,Zcash,$87.70,-6.04%,$106.32 M,$1.28 B
44,Elrond,$57.91,-9.49%,$80.67 M,$1.27 B
45,TrueUSD,$1.01,-0.02%,$90.01 M,$1.24 B
46,Aave,$88.28,-10.39%,$135.94 M,$1.21 B
47,EOS,$1.20,-5.58%,$255.67 M,$1.18 B
48,Axie Infinity,$18.33,-7.59%,$117.27 M,$1.15 B
49,Bitcoin SV,$57.56,+1.16%,$214.38 M,$1.1 B
50,Huobi Token,$6.97,+0.14%,$52.56 M,$1.08 B
51,Maker,"$1,069.95",-7.93%,$80.23 M,$1.03 B
52,Klaytn,$0.3486,-7.12%,$47.99 M,$996.33 M
53,The Graph,$0.1406,-7.90%,$62.15 M,$959.16 M
54,Pax Dollar,$1.00,+0.20%,$12.73 M,$948.01 M
55,BitTorrent,$0.000001004,-5.59%,$84.83 M,$938.64 M
56,eCash,$0.000048,-6.94%,$14.38 M,$917.69 M
57,IOTA,$0.323,-8.68%,$14.53 M,$897.24 M
58,THORChain,$2.75,-8.30%,$55.75 M,$876.38 M
59,Neutrino USD,$0.9764,-1.28%,$11.14 M,$806.31 M
60,Neo,$11.42,-8.00%,$67.33 M,$791.18 M
61,Fantom,$0.3154,-10.23%,$159.01 M,$790.68 M
62,Waves,$7.14,-11.19%,$324.23 M,$766.71 M
63,Quant,$62.27,-4.31%,$32.03 M,$736.99 M
64,USDD,$0.9997,-0.00%,$152.41 M,$703.06 M
65,Chiliz,$0.1165,-6.09%,$56.76 M,$683.27 M
66,Nexo,$1.18,-3.72%,$6.59 M,$658.2 M
67,OKB,$10.96,-4.21%,$35.41 M,$658.14 M
68,Stacks,$0.5022,-9.68%,$9.79 M,$656.88 M
69,Loopring,$0.4875,-8.72%,$89.5 M,$638.42 M
70,PancakeSwap,$4.30,-4.37%,$78.92 M,$636.14 M
71,PAX Gold,"$1,900.48",+1.36%,$28.79 M,$624.4 M
72,Zilliqa,$0.04652,-7.02%,$99.2 M,$591.37 M
73,Dash,$54.29,-7.44%,$109.3 M,$579.9 M
74,Basic Attention Token,$0.3715,-10.39%,$50.99 M,$550.26 M
75,Green Metaverse Token,$0.9101,-8.88%,$373.57 M,$545.76 M
76,Curve DAO Token,$1.07,-10.15%,$88.68 M,$525.67 M
