,#,Name,Price,24H CHANGE,24H VOLUME,Market Cap
0,1,Bitcoin,"$29,690.45",-6.15%,$35.52 B,$561.63 B
1,2,Ethereum,"$1,770.49",-7.96%,$20.08 B,$212.33 B
2,3,Tether,$1.01,-0.00%,$57.72 B,$72.37 B
3,4,USD Coin,$1.00,-0.02%,$5.01 B,$53.78 B
4,5,BNB,$279.96,-10.05%,$1.73 B,$45.63 B
5,6,Cardano,$0.5889,-7.60%,$1.17 B,$19.65 B
6,7,XRP,$0.3937,-4.19%,$1.36 B,$18.81 B
7,8,Binance USD,$1.00,+0.00%,$5.18 B,$18.27 B
8,9,Solana,$38.21,-13.64%,$1.92 B,$12.9 B
9,10,Dogecoin,$0.08066,-5.24%,$527.82 M,$10.57 B
10,11,Polkadot,$9.09,-8.34%,$439.01 M,$8.89 B
11,12,Wrapped Bitcoin,"$29,912.19",-6.18%,$289.21 M,$8.06 B
12,13,TRON,$0.08023,-4.54%,$831.9 M,$7.44 B
13,14,Dai,$1.02,-0.01%,$287.78 M,$6.9 B
14,15,Avalanche,$23.85,-12.34%,$849.14 M,$6.63 B
15,16,Shiba Inu,$0.00001083,-5.11%,$325.14 M,$5.82 B
16,17,UNUS SED LEO,$5.20,+3.68%,$6.19 M,$4.96 B
17,18,Polygon,$0.5969,-9.38%,$391.84 M,$4.69 B
18,19,Cronos,$0.1731,-7.87%,$30.54 M,$4.32 B
19,20,Litecoin,$61.81,-7.12%,$529.17 M,$4.32 B
20,21,Uniswap,$5.09,-5.86%,$160.23 M,$3.63 B
21,22,NEAR Protocol,$5.18,-9.06%,$355.1 M,$3.62 B
22,23,Chainlink,$7.57,-6.84%,$458.79 M,$3.51 B
23,24,FTX Token,$25.33,-6.78%,$84.49 M,$3.44 B
24,25,Stellar,$0.139,-7.40%,$200.76 M,$3.43 B
25,26,Bitcoin Cash,$176.53,-6.37%,$2.21 B,$3.34 B
26,27,Monero,$184.70,-4.84%,$112.37 M,$3.34 B
27,28,Ethereum Classic,$21.29,-8.18%,$323.26 M,$2.85 B
28,29,Algorand,$0.3856,-9.05%,$103.23 M,$2.62 B
29,30,Cosmos,$8.71,-10.75%,$223.62 M,$2.48 B
30,31,Flow,$2.40,-7.48%,$32.45 M,$2.45 B
31,32,VeChain,$0.03019,-7.81%,$153.14 M,$1.92 B
32,33,Tezos,$2.14,-1.33%,$169.58 M,$1.89 B
33,34,Hedera,$0.0905,-8.00%,$31.74 M,$1.85 B
34,35,Decentraland,$0.9682,-8.78%,$194.86 M,$1.76 B
35,36,ApeCoin,$6.07,-5.97%,$260.39 M,$1.75 B
36,37,Internet Computer,$6.98,-12.13%,$118.76 M,$1.61 B
37,38,The Sandbox,$1.28,-7.62%,$299.16 M,$1.57 B
38,39,KuCoin Token,$15.84,-5.24%,$4 M,$1.56 B
39,40,Filecoin,$7.22,-7.97%,$220.67 M,$1.53 B
40,41,Elrond,$66.75,-7.73%,$196.65 M,$1.46 B
41,42,Aave,$98.09,-10.96%,$179.31 M,$1.35 B
42,43,Zcash,$90.66,-3.77%,$108.35 M,$1.32 B
43,44,TrueUSD,$1.01,+0.02%,$113.6 M,$1.28 B
44,45,EOS,$1.25,-6.49%,$274.75 M,$1.23 B
45,46,Axie Infinity,$19.55,-11.78%,$195.09 M,$1.23 B
46,47,Theta Network,$1.21,-10.64%,$101.56 M,$1.2 B
47,48,Helium,$10.13,-9.11%,$26.36 M,$1.19 B
48,49,Maker,"$1,154.00",-6.52%,$77.01 M,$1.12 B
49,50,Huobi Token,$7.20,-3.11%,$38.27 M,$1.12 B
50,51,Klaytn,$0.3854,-4.78%,$41.87 M,$1.1 B
51,52,Bitcoin SV,$55.44,-4.90%,$102.35 M,$1.06 B
52,53,eCash,$0.00005518,-2.37%,$126.83 M,$1.05 B
53,54,The Graph,$0.1527,-9.02%,$69.27 M,$1.03 B
54,55,BitTorrent,$0.000001064,-4.97%,$52.78 M,$991.68 M
55,56,THORChain,$3.01,-10.15%,$132.73 M,$961.49 M
56,57,Pax Dollar,$0.9995,-0.18%,$17.51 M,$945.16 M
57,58,IOTA,$0.3355,-11.13%,$29.8 M,$932.59 M
58,59,Fantom,$0.3465,-9.43%,$188.43 M,$875.71 M
59,60,Waves,$7.75,-10.98%,$429.52 M,$834.18 M
60,61,Neutrino USD,$0.9894,-0.07%,$4.31 M,$821.01 M
61,62,Neo,$11.47,-12.44%,$113.95 M,$798.1 M
62,63,Quant,$65.34,-5.25%,$43.57 M,$778.7 M
63,64,Chiliz,$0.1215,-10.03%,$76.07 M,$719.01 M
64,65,USDD,$0.9997,-0.06%,$81.91 M,$702.87 M
65,66,PancakeSwap,$4.33,-9.30%,$161.48 M,$698.4 M
66,67,Stacks,$0.5351,-6.89%,$20.73 M,$696.43 M
67,68,Loopring,$0.5208,-8.97%,$173.31 M,$685.82 M
68,69,Nexo,$1.21,-2.86%,$8.4 M,$678.78 M
69,70,OKB,$11.24,-5.19%,$239.26 M,$674.24 M
70,71,Dash,$58.76,-5.15%,$121.17 M,$629.16 M
71,72,Zilliqa,$0.04913,-7.92%,$144.17 M,$627.09 M
